ECS ID,OEIS ID,Description,Terms
20,A000142,Permutations of n elements,"1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880, 3628800, 39916800, 479001600, 6227020800, 87178291200, 1307674368000, 20922789888000, 355687428096000, 6402373705728000, 121645100408832000, 2432902008176640000"
21,A000166,"Cycles >=2, permutations of n element with no fixed points; derangements (subfactorial or rencontre numbers)","1, 0, 1, 2, 9, 44, 265, 1854, 14833, 133496, 1334961, 14684570, 176214841, 2290792932, 32071101049, 481066515734, 7697064251745, 130850092279664, 2355301661033953, 44750731559645106, 895014631192902121"
22,A000085,involution of n elements,"1, 1, 2, 4, 10, 26, 76, 232, 764, 2620, 9496, 35696, 140152, 568504, 2390480, 10349536, 46206736, 211799312, 997313824, 4809701440, 23758664096"
23,A001147,involution without fixed points of n elements even numbers are double factorials,"1, 0, 1, 0, 3, 0, 15, 0, 105, 0, 945, 0, 10395, 0, 135135, 0, 2027025, 0, 34459425, 0, 654729075"
24,A001470,permutations Sigma such that Sigma^3=Id; degree n permutations of order dividing 3,"1, 1, 1, 3, 9, 21, 81, 351, 1233, 5769, 31041, 142011, 776601, 4874013, 27027729, 168369111, 1191911841, 7678566801, 53474964993, 418199988339, 3044269834281"
25,A001472,permutations Sigma such that Sigma^4=Id; degree n permutations of order dividing 4,"1, 1, 2, 4, 16, 56, 256, 1072, 6224, 33616, 218656, 1326656, 9893632, 70186624, 574017536, 4454046976, 40073925376, 347165733632, 3370414011904, 31426411211776, 328454079574016"
26,A052501,permutations Sigma such that Sigma^5=Id; degree n permutations of order dividing 5,"1, 1, 1, 1, 1, 25, 145, 505, 1345, 3025, 78625, 809425, 4809025, 20787625, 72696625, 1961583625, 28478346625, 238536558625, 1425925698625, 6764765838625, 189239120970625"
27,A052502,permutations Sigma without fixed point such that Sigma^3=Id,"1, 0, 0, 2, 0, 0, 40, 0, 0, 2240, 0, 0, 246400, 0, 0, 44844800, 0, 0, 12197785600, 0, 0"
28,A052503,permutations Sigma without fixed point such that Sigma^4=Id,"1, 0, 1, 0, 9, 0, 105, 0, 2625, 0, 76545, 0, 3440745, 0, 176080905, 0, 12034447425, 0, 922995698625, 0, 87505195602825"
29,A052504,permutations Sigma without fixed point such that Sigma^5=Id,"1, 0, 0, 0, 0, 24, 0, 0, 0, 0, 72576, 0, 0, 0, 0, 1743565824, 0, 0, 0, 0, 162193467211776"
30,A001563,Permutation with at least two cycles,"0, 0, 1, 4, 18, 96, 600, 4320, 35280, 322560, 3265920, 36288000, 439084800, 5748019200, 80951270400, 1220496076800, 19615115520000, 334764638208000, 6046686277632000, 115242726703104000, 2311256907767808000"
31,A000254,Permutation with exactly two cycles; Stirling numbers of first kind,"0, 0, 1, 3, 11, 50, 274, 1764, 13068, 109584, 1026576, 10628640, 120543840, 1486442880, 19802759040, 283465647360, 4339163001600, 70734282393600, 1223405590579200, 22376988058521600, 431565146817638400"
32,A000399,Permutation with exactly 3 cycles; Stirling numbers of first kind,"0, 0, 0, 1, 6, 35, 225, 1624, 13132, 118124, 1172700, 12753576, 150917976, 1931559552, 26596717056, 392156797824, 6165817614720, 102992244837120, 1821602444624640, 34012249593822720, 668609730341153280"
33,A000454,Permutation with exactly 4 cycles; Stirling numbers of first kind,"0, 0, 0, 0, 1, 10, 85, 735, 6769, 67284, 723680, 8409500, 105258076, 1414014888, 20313753096, 310989260400, 5056995703824, 87077748875904, 1583313975727488, 30321254007719424, 610116075740491776"
34,A003713,Cycles of cycles,"0, 1, 2, 7, 35, 228, 1834, 17582, 195866, 2487832, 35499576, 562356672, 9794156448, 186025364016, 3826961710272, 84775065603888, 2011929826983504, 50929108873336320, 1369732445916318336, 39005083331889816960, 1172419218038422659456"
35,A000522,Arrangements; partial permutations (Permutations of n thing),"1, 2, 5, 16, 65, 326, 1957, 13700, 109601, 986410, 9864101, 108505112, 1302061345, 16926797486, 236975164805, 3554627472076, 56874039553217, 966858672404690, 17403456103284421, 330665665962404000, 6613313319248080001"
36,A000312,Functional graphs,"1, 1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000, 285311670611, 8916100448256, 302875106592253, 11112006825558016, 437893890380859375, 18446744073709551616, 827240261886336764177, 39346408075296537575424, 1978419655660313589123979, 104857600000000000000000000"
37,A001865,Connected Functional graphs; Connected graphs by points,"0, 1, 3, 17, 142, 1569, 21576, 355081, 6805296, 148869153, 3660215680, 99920609601, 2998836525312, 98139640241473, 3478081490967552, 132705415800984825, 5423640496274200576, 236389784118231290049, 10944997108429625524224, 536484538620663729658993, 27753628754252398927872000"
38,A052505,Labelled 3-constrained functional graphs,"1, 0, 0, 3, 0, 0, 300, 0, 0, 141120, 0, 0, 182952000, 0, 0, 505008504000, 0, 0, 2547446533632000, 0, 0"
39,A052506,Maps of f^2=f;Trees of height at most 1,"1, 0, 2, 3, 16, 65, 336, 1897, 11824, 80145, 586000, 4588001, 38239224, 337611001, 3144297352, 30779387745, 315689119456, 3383159052833, 37790736663456, 439036039824193, 5294386116882280"
40,A000262,Sets of segments; Forest of greatest height; Acyclic injective partial maps,"1, 1, 3, 13, 73, 501, 4051, 37633, 394353, 4596553, 58941091, 824073141, 12470162233, 202976401213, 3535017524403, 65573803186921, 1290434218669921, 26846616451246353, 588633468315403843, 13564373693588558173, 327697927886085654441"
41,A000670,Ordered set partitions; surjections (Preferential arrangements);Ways to place balls into urns: distinguishable balls and distinguishable urns,"1, 1, 3, 13, 75, 541, 4683, 47293, 545835, 7087261, 102247563, 1622632573, 28091567595, 526858348381, 10641342970443, 230283190977853, 5315654681981355, 130370767029135901, 3385534663256845323, 92801587319328411133, 2677687796244384203115"
42,A001003,Schroeder's problem. Dissections of a polygon or parenthesizing a product,"0, 1, 1, 3, 11, 45, 197, 903, 4279, 20793, 103049, 518859, 2646723, 13648869, 71039373, 372693519, 1968801519, 10463578353, 55909013009, 300159426963, 1618362158587"
43,A001190,unlabelled binary rooted trees with n endpoints inequivalent under reflections in vertical axes. (Wedderburn-Etherington numbers),"0, 1, 1, 1, 2, 3, 6, 11, 23, 46, 98, 207, 451, 983, 2179, 4850, 10905, 24631, 56011, 127912, 293547"
44,A000669,Unlabelled non plane trees with degree >=2 (series-reduced planted trees),"0, 1, 1, 2, 5, 12, 33, 90, 261, 766, 2312, 7068, 21965, 68954, 218751, 699534, 2253676, 7305788, 23816743, 78023602, 256738751"
45,A001190,Unlabelled Non Plane Binary Trees,"0, 1, 0, 1, 0, 1, 0, 2, 0, 3, 0, 6, 0, 11, 0, 23, 0, 46, 0, 98, 0"
46,A036770,Labelled Non Plane Binary Trees,"0, 1, 0, 3, 0, 60, 0, 3150, 0, 317520, 0, 52390800, 0, 12843230400, 0, 4382752374000, 0, 1986847742880000, 0, 1155153277710432000, 0"
47,A036771,Labelled Non Plane Ternary Trees,"0, 1, 0, 0, 4, 0, 0, 420, 0, 0, 201600, 0, 0, 264264000, 0, 0, 734557824000, 0, 0, 3723191087616000, 0"
48,A000108,Unlabelled general rooted plane trees; Catalan numbers,"0, 1, 1, 2, 5, 14, 42, 132, 429, 1430, 4862, 16796, 58786, 208012, 742900, 2674440, 9694845, 35357670, 129644790, 477638700, 1767263190"
49,A000808,Labelled General Plane Trees of n elements,"0, 1, 2, 12, 120, 1680, 30240, 665280, 17297280, 518918400, 17643225600, 670442572800, 28158588057600, 1295295050649600, 64764752532480000, 3497296636753920000, 202843204931727360000, 12576278705767096320000, 830034394580628357120000, 58102407620643984998400000, 4299578163927654889881600000"
50,A001006,Unlabelled unary-binary trees; Motzkin numbers (Generalized ballot numbers),"0, 1, 1, 2, 4, 9, 21, 51, 127, 323, 835, 2188, 5798, 15511, 41835, 113634, 310572, 853467, 2356779, 6536382, 18199284"
51,A000808,Binary trees of n leaves (external nodes),"0, 1, 2, 12, 120, 1680, 30240, 665280, 17297280, 518918400, 17643225600, 670442572800, 28158588057600, 1295295050649600, 64764752532480000, 3497296636753920000, 202843204931727360000, 12576278705767096320000, 830034394580628357120000, 58102407620643984998400000, 4299578163927654889881600000"
52,A000108,Unlabelled binary trees of n leaves (external nodes),"0, 1, 1, 2, 5, 14, 42, 132, 429, 1430, 4862, 16796, 58786, 208012, 742900, 2674440, 9694845, 35357670, 129644790, 477638700, 1767263190"
53,A001764,"Noy's counting of non-crossing trees number of trees that can be built on the n vertices on the n-gon, assuming that no edges of the tree intersect","0, 1, 1, 3, 12, 55, 273, 1428, 7752, 43263, 246675, 1430715, 8414640, 50067108, 300830572, 1822766520, 11124755664, 68328754959, 422030545335, 2619631042665, 16332922290300"
54,A052510,Binary Trees of n elements (external nodes or internal nodes),"0, 1, 0, 6, 0, 240, 0, 25200, 0, 5080320, 0, 1676505600, 0, 821966745600, 0, 560992303872000, 0, 508633022177280000, 0, 591438478187741184000, 0"
55,A000108,Unlabelled Binary Trees of n elements (external nodes or internal nodes) with two branches,"0, 1, 0, 1, 0, 2, 0, 5, 0, 14, 0, 42, 0, 132, 0, 429, 0, 1430, 0, 4862, 0"
56,A004111,rooted identity trees,"0, 1, 1, 1, 2, 3, 6, 12, 25, 52, 113, 247, 548, 1226, 2770, 6299, 14426, 33209, 76851, 178618, 416848"
57,A000081,"Rooted, non plane, unlabelled Trees","0, 1, 1, 2, 4, 9, 20, 48, 115, 286, 719, 1842, 4766, 12486, 32973, 87811, 235381, 634847, 1721159, 4688676, 12826228"
58,A052512,Labelled trees of height 2,"0, 1, 2, 9, 40, 205, 1176, 7399, 50576, 372537, 2936080, 24617131, 218521128, 2045278261, 20112821288, 207162957135, 2228888801056, 24989309310961, 291322555295904, 3524580202643155, 44176839081266360"
59,A052513,Labelled trees of height 3,"0, 1, 2, 9, 64, 505, 4536, 46249, 526352, 6604497, 90466480, 1341571561, 21392282088, 364715915161, 6616327512536, 127187163197865, 2581443127409056, 55143025567270561, 1236226458392407008, 29012548251081127753, 711157579030313374520"
60,A052514,Labelled trees of height 4,"0, 1, 2, 9, 64, 625, 7056, 89929, 1284032, 20351601, 354648160, 6736612201, 138472331328, 3061103815081, 72391319923664, 1823032999274985, 48692068509655936, 1374488205290880481, 40877130077266074048, 1277206005989742271561, 41820796906597753742720"
61,A000041,Unlabelled trees of height 2,"0, 1, 1, 2, 3, 5, 7, 11, 15, 22, 30, 42, 56, 77, 101, 135, 176, 231, 297, 385, 490"
62,A001383,Unlabelled trees of height 3,"0, 1, 1, 2, 4, 8, 15, 29, 53, 98, 177, 319, 565, 1001, 1749, 3047, 5264, 9054, 15467, 26320, 44532"
63,A001384,Unlabelled trees of height 4,"0, 1, 1, 2, 4, 9, 19, 42, 89, 191, 402, 847, 1763, 3667, 7564, 15564, 31851, 64987, 132031, 267471, 539949"
64,A002720,"Injective partial maps (Borwein et al), (increasing subsequences in perms)","1, 2, 7, 34, 209, 1546, 13327, 130922, 1441729, 17572114, 234662231, 3405357682, 53334454417, 896324308634, 16083557845279, 306827170866106, 6199668952527617, 132240988644215842, 2968971263911288999, 69974827707903049154, 1727194482044146637521"
65,A000110,Strictly increasing partial maps (Borwein et al); Bell numbers,"1, 1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975, 678570, 4213597, 27644437, 190899322, 1382958545, 10480142147, 82864869804, 682076806159, 5832742205057, 51724158235372"
66,A001861,Increasing (nonstrict) injective partial maps,"1, 2, 6, 22, 94, 454, 2430, 14214, 89918, 610182, 4412798, 33827974, 273646526, 2326980998, 20732504062, 192982729350, 1871953992254, 18880288847750, 197601208474238, 2142184050841734, 24016181943732414"
67,A000169,Partial maps; (n+1)^n,"1, 2, 9, 64, 625, 7776, 117649, 2097152, 43046721, 1000000000, 25937424601, 743008370688, 23298085122481, 793714773254144, 29192926025390625, 1152921504606846976, 48661191875666868481, 2185911559738696531968, 104127350297911241532841, 5242880000000000000000000, 278218429446951548637196401"
68,A000079,"integer composition of size n: Sequences (n1,...,nk) such that n1+n2+...+nk=n, with ni and k positive integers","1, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288"
69,A000311,Hierarchies; Schroeder's fourth problem,"0, 1, 1, 4, 26, 236, 2752, 39208, 660032, 12818912, 282137824, 6939897856, 188666182784, 5617349020544, 181790703209728, 6353726042486272, 238513970965257728, 9571020586419012608, 408837905660444010496, 18522305410364986906624, 887094711304119347388416"
70,A000258,3-balanced hierarchies,"1, 1, 3, 12, 60, 358, 2471, 19302, 167894, 1606137, 16733779, 188378402, 2276423485, 29367807524, 402577243425, 5840190914957, 89345001017415, 1436904211547895, 24227076487779802, 427187837301557598, 7859930038606521508"
71,A000108,Euler's counting of triangulations: number of ways of cutting up a convex(n+2)-gon into n triangles by means of (n-1) non-intersecting diagonals; Catalan numbers,"0, 1, 2, 5, 14, 42, 132, 429, 1430, 4862, 16796, 58786, 208012, 742900, 2674440, 9694845, 35357670, 129644790, 477638700, 1767263190, 6564120420"
72,A000079,Ways to place balls into urns: indistinguishable balls and distinguishable urns,"1, 1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288"
73,A000110,Ways to place balls into urns: distinguishable balls and indistinguishable urns,"1, 1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975, 678570, 4213597, 27644437, 190899322, 1382958545, 10480142147, 82864869804, 682076806159, 5832742205057, 51724158235372"
74,A000041,Ways to place balls into urns: indistinguishable balls and indistinguishable urns,"1, 1, 2, 3, 5, 7, 11, 15, 22, 30, 42, 56, 77, 101, 135, 176, 231, 297, 385, 490, 627"
75,A007113,Stanley's children rounds,"1, 0, 2, 3, 20, 90, 594, 4200, 34544, 316008, 3207240, 35699400, 432690312, 5672581200, 79991160144, 1207367605080, 19423062612480, 331770360922560, 5997105160795584, 114373526841360000, 2295170834453089920"
76,A000108,Number of ways of completely parenthesizing a product of n letters; Catalan numbers,"0, 0, 1, 2, 5, 14, 42, 132, 429, 1430, 4862, 16796, 58786, 208012, 742900, 2674440, 9694845, 35357670, 129644790, 477638700, 1767263190"
77,A000918,FAIL,"0, 0, 2, 6, 14, 30, 62, 126, 254, 510, 1022, 2046, 4094, 8190, 16382, 32766, 65534, 131070, 262142, 524286, 1048574"
78,A000272,FAIL,"1, 1, 3, 16, 125, 1296, 16807, 262144, 4782969, 100000000, 2357947691, 61917364224, 1792160394037, 56693912375296, 1946195068359375, 72057594037927936, 2862423051509815793, 121439531096594251776, 5480386857784802185939, 262144000000000000000000, 13248496640331026125580781"
79,A032203,FAIL,"0, 0, 1, 2, 5, 12, 36, 104, 331, 1062, 3519, 11809, 40327, 139066, 484698, 1702819, 6026452, 21460248, 76846950, 276524978, 999423375"
80,A001761,FAIL,"1, 1, 4, 30, 336, 5040, 95040, 2162160, 57657600, 1764322560, 60949324800, 2346549004800, 99638080819200, 4626053752320000, 233153109116928000, 12677700308232960000, 739781100339240960000, 46113021921146019840000, 3058021453718104473600000, 214978908196382744494080000, 15969861751731289590988800000"
81,A052515,Pairs of sets of cardinality at least 2,"0, 0, 0, 0, 6, 20, 50, 112, 238, 492, 1002, 2024, 4070, 8164, 16354, 32736, 65502, 131036, 262106, 524248, 1048534"
82,A052516,Pairs of sets of cardinality at least 3,"0, 0, 0, 0, 0, 0, 20, 70, 182, 420, 912, 1914, 3938, 8008, 16172, 32526, 65262, 130764, 261800, 523906, 1048154"
83,A052517,Pairs of cycles of cardinality at least 1,"0, 0, 2, 6, 22, 100, 548, 3528, 26136, 219168, 2053152, 21257280, 241087680, 2972885760, 39605518080, 566931294720, 8678326003200, 141468564787200, 2446811181158400, 44753976117043200, 863130293635276800"
84,A052518,Pairs of cycles of cardinality at least 2,"0, 0, 0, 0, 6, 40, 260, 1848, 14616, 128448, 1246752, 13273920, 153996480, 1935048960, 26193473280, 380120670720, 5888620684800, 97007636275200, 1693590745190400, 31237853849395200, 607035345406156800"
85,A052519,Pairs of cycles of cardinality at least 3,"0, 0, 0, 0, 0, 0, 80, 840, 7896, 76608, 793152, 8838720, 106096320, 1368956160, 18928615680, 279530334720, 4394135692800, 73295141068800, 1293442388582400, 24082259707699200, 471874122729676800"
86,A062119,Pairs of sequences of cardinality at least 1,"0, 0, 2, 12, 72, 480, 3600, 30240, 282240, 2903040, 32659200, 399168000, 5269017600, 74724249600, 1133317785600, 18307441152000, 313841848320000, 5690998849536000, 108840352997376000, 2189611807358976000, 46225138155356160000"
87,A052520,Pairs of sequences of cardinality at least 2,"0, 0, 0, 0, 24, 240, 2160, 20160, 201600, 2177280, 25401600, 319334400, 4311014400, 62270208000, 958961203200, 15692092416000, 271996268544000, 4979623993344000, 96035605585920000, 1946321606541312000, 41359334139002880000"
88,A052521,Pairs of sequences of cardinality at least 3,"0, 0, 0, 0, 0, 0, 720, 10080, 120960, 1451520, 18144000, 239500800, 3353011200, 49816166400, 784604620800, 13076743680000, 230150688768000, 4268249137152000, 83230858174464000, 1703031405723648000, 36493530122649600000"
89,A032188,Labelled mobile with cycles of length at least 2,"0, 1, 1, 5, 41, 469, 6889, 123605, 2620169, 64074901, 1775623081, 54989743445, 1882140936521, 70552399533589, 2874543652787689, 126484802362553045, 5977683917752887689, 301983995802099667861, 16239818347465293071401, 926248570498763547197525, 55847464116157184894240201"
90,A052522,Labelled mobile with cycles of length at least 3,"0, 1, 0, 2, 6, 64, 540, 6908, 93744, 1542616, 28057800, 576840032, 13029824016, 323152349584, 8698499671680, 252998272144928, 7900336700736864, 263731233726459136, 9370598887948893120, 353114271843930110912, 14065897924340889129216"
91,A052523,Unlabelled mobile with cycles of length at least 3,"0, 1, 0, 1, 1, 2, 3, 6, 12, 25, 53, 114, 257, 567, 1294, 2944, 6790, 15693, 36598, 85578, 201299"
92,A032037,Planar labelled trees with no unary node,"0, 1, 2, 18, 264, 5400, 141840, 4551120, 172529280, 7545363840, 373944211200, 20711190931200, 1267784551756800, 84991791159475200, 6193091146059417600, 487361761916020992000, 41192820513212239872000, 3721763273059549605888000, 357950394802026289815552000, 36512923631571610144137216000, 3937316545583394234388807680000"
93,A046736,Planar unlabelled trees with neither unary nor binary nodes,"0, 1, 0, 1, 1, 4, 8, 25, 64, 191, 540, 1616, 4785, 14512, 44084, 135545, 418609, 1302340, 4070124, 12785859, 40325828"
94,A052524,Planar labelled trees with neither unary nor binary nodes,"0, 1, 0, 6, 24, 480, 5760, 126000, 2580480, 69310080, 1959552000, 64505548800, 2292022656000, 90366525849600, 3843167789260800, 177248722210560000, 8758468152225792000, 463225965106544640000, 26058454876652470272000, 1555337101868168306688000, 98108787922585778257920000"
95,A052525,Non-planar unlabelled trees with neither unary nor binary nodes,"0, 0, 0, 1, 1, 2, 3, 6, 10, 20, 36, 71, 136, 270, 531, 1070, 2147, 4367, 8895, 18262, 37588"
96,A052526,Non-planar labelled trees with neither unary nor binary nodes,"0, 0, 0, 1, 1, 11, 36, 372, 2311, 26252, 243893, 3173281, 38916879, 583922418, 8808814262, 151530476047, 2694658394356, 52607648010035, 1072975736368359, 23516009286474813, 539838208864165036"
97,A001048,Centered labelled cycles,"0, 0, 2, 3, 8, 30, 144, 840, 5760, 45360, 403200, 3991680, 43545600, 518918400, 6706022400, 93405312000, 1394852659200, 22230464256000, 376610217984000, 6758061133824000, 128047474114560000"
98,A005251,FAIL,"0, 1, 1, 2, 4, 7, 12, 21, 37, 65, 114, 200, 351, 616, 1081, 1897, 3329, 5842, 10252, 17991, 31572"
99,A000629,FAIL,"0, 1, 2, 6, 26, 150, 1082, 9366, 94586, 1091670, 14174522, 204495126, 3245265146, 56183135190, 1053716696762, 21282685940886, 460566381955706, 10631309363962710, 260741534058271802, 6771069326513690646, 185603174638656822266"
100,A002865,FAIL,"0, 0, 1, 1, 2, 2, 4, 4, 7, 8, 12, 14, 21, 24, 34, 41, 55, 66, 88, 105, 137"
101,A001048,FAIL,"0, 2, 3, 8, 30, 144, 840, 5760, 45360, 403200, 3991680, 43545600, 518918400, 6706022400, 93405312000, 1394852659200, 22230464256000, 376610217984000, 6758061133824000, 128047474114560000, 2554547108585472000"
102,A006505,FAIL,"1, 0, 0, 1, 1, 1, 11, 36, 92, 491, 2557, 11353, 60105, 362506, 2169246, 13580815, 91927435, 650078097, 4762023647, 36508923530, 292117087090"
103,A001815,FAIL,"0, 0, 2, 12, 48, 160, 480, 1344, 3584, 9216, 23040, 56320, 135168, 319488, 745472, 1720320, 3932160, 8912896, 20054016, 44826624, 99614720"
104,A000266,FAIL,"1, 1, 1, 3, 15, 75, 435, 3045, 24465, 220185, 2200905, 24209955, 290529855, 3776888115, 52876298475, 793144477125, 12690313661025, 215735332237425, 3883235945814225, 73781482970470275, 1475629660064134575"
105,A002620,FAIL,"0, 0, 0, 1, 2, 4, 6, 9, 12, 16, 20, 25, 30, 36, 42, 49, 56, 64, 72, 81, 90"
106,A001147,FAIL,"0, 1, 1, 3, 15, 105, 945, 10395, 135135, 2027025, 34459425, 654729075, 13749310575, 316234143225, 7905853580625, 213458046676875, 6190283353629375, 191898783962510625, 6332659870762850625, 221643095476699771875, 8200794532637891559375"
107,A005594,FAIL,"0, 2, 4, 7, 14, 26, 59, 122, 284, 647, 1528, 3602, 8679, 20882, 50824, 124055, 304574, 750122, 1855099, 4600202, 11442086"
108,A000009,FAIL,"1, 1, 1, 2, 2, 3, 4, 5, 6, 8, 10, 12, 15, 18, 22, 27, 32, 38, 46, 54, 64"
109,A006963,FAIL,"0, 1, 3, 20, 210, 3024, 55440, 1235520, 32432400, 980179200, 33522128640, 1279935820800, 53970627110400, 2490952020480000, 124903451312640000, 6761440164390912000, 393008709555221760000, 24412776311194951680000, 1613955767240110694400000, 113146793787569865523200000, 8384177419658927035269120000"
110,A006153,FAIL,"1, 1, 4, 21, 148, 1305, 13806, 170401, 2403640, 38143377, 672552730, 13044463641, 276003553860, 6326524990825, 156171026562838, 4130464801497105, 116526877671782896, 3492868475952497313, 110856698175372359346, 3713836169709782989993, 130966414749485504586940"
111,A005594,FAIL,"0, 2, 4, 7, 14, 26, 59, 122, 284, 647, 1528, 3602, 8679, 20882, 50824, 124055, 304574, 750122, 1855099, 4600202, 11442086"
112,A003416,FAIL,"1, 2, 5, 12, 28, 64, 144, 320, 704, 1536, 3328, 7168, 15360, 32768, 69632, 147456, 311296, 655360, 1376256, 2883584, 6029312"
113,A000070,FAIL,"1, 2, 4, 7, 12, 19, 30, 45, 67, 97, 139, 195, 272, 373, 508, 684, 915, 1212, 1597, 2087, 2714"
114,A000051,FAIL,"1, 2, 3, 5, 9, 17, 33, 65, 129, 257, 513, 1025, 2049, 4097, 8193, 16385, 32769, 65537, 131073, 262145, 524289"
115,A001813,FAIL,"0, 1, 2, 12, 120, 1680, 30240, 665280, 17297280, 518918400, 17643225600, 670442572800, 28158588057600, 1295295050649600, 64764752532480000, 3497296636753920000, 202843204931727360000, 12576278705767096320000, 830034394580628357120000, 58102407620643984998400000, 4299578163927654889881600000"
116,A002104,FAIL,"0, 1, 3, 8, 24, 89, 415, 2372, 16072, 125673, 1112083, 10976184, 119481296, 1421542641, 18348340127, 255323504932, 3809950977008, 60683990530225, 1027542662934915, 18430998766219336, 349096664728623336"
117,A000248,FAIL,"1, 1, 3, 10, 41, 196, 1057, 6322, 41393, 293608, 2237921, 18210094, 157329097, 1436630092, 13810863809, 139305550066, 1469959371233, 16184586405328, 185504221191745, 2208841954063318, 27272621155678841"
